ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,lat_11_Localizacion_del_,long_11_Localizacion_del_,accuracy_11_Localizacion_del_,UTM_Northing_11_Localizacion_del_,UTM_Easting_11_Localizacion_del_,UTM_Zone_11_Localizacion_del_,12_Se_pudo_reconocer,13_Especie,14_Edad_meses,15_Altura_cm,16_Foto_del_plantado,17_Observacion,18_Presencia_de_tuto,19_Estado_fitosanita,20_Observaciones__Fi,21_Estado_General_de,22_Observaciones__Ta,23_Origen,24_Tipo_de_intervenc,25_Posee_cao_de_rieg,26_Plantado_en_suelo,27_Otras_observacion
bd5c133e-9851-4af0-9aa0-cd8bc592797a,6b32281b-400e-4d87-839e-5f5d06478afa,2026-06-04T20:11:18.000Z,2026-06-04T20:13:13.000Z,6b32281b-400e-4d87-839e-5f5d06478afa,-31.728727,-60.548452,10,6487017,732272,20J,Reconocida,Jacaranda,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=6b32281b-400e-4d87-839e-5f5d06478afa_1780603870.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,d151b1ce-7363-4093-aebc-c132fa683279,2026-06-04T20:10:24.000Z,2026-06-04T20:13:11.000Z,d151b1ce-7363-4093-aebc-c132fa683279,-31.728658,-60.548408,9,6487025,732277,20J,Reconocida,Lapacho,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=d151b1ce-7363-4093-aebc-c132fa683279_1780603817.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,b692c868-77d7-4669-addd-07817586cab3,2026-06-04T20:09:43.000Z,2026-06-04T20:13:09.000Z,b692c868-77d7-4669-addd-07817586cab3,-31.728679,-60.548367,10,6487023,732281,20J,Reconocida,Lapacho,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=b692c868-77d7-4669-addd-07817586cab3_1780603772.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,baea80c1-540d-4abd-98b1-ad6cf2aaf186,2026-06-04T20:09:05.000Z,2026-06-04T20:13:08.000Z,baea80c1-540d-4abd-98b1-ad6cf2aaf186,-31.728662,-60.548312,10,6487024,732286,20J,Reconocida,Lapacho,36,120,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=baea80c1-540d-4abd-98b1-ad6cf2aaf186_1780603738.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,f09cea4c-a287-442e-a468-775c528197d4,2026-06-04T20:08:19.000Z,2026-06-04T20:13:06.000Z,f09cea4c-a287-442e-a468-775c528197d4,-31.728642,-60.548267,9,6487026,732290,20J,Reconocida,Lapacho,36,180,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=f09cea4c-a287-442e-a468-775c528197d4_1780603678.jpg,Afectado por hongos,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,a45279de-4c39-4d13-98fb-fdf0a08d95f3,2026-06-04T20:07:22.000Z,2026-06-04T20:13:04.000Z,a45279de-4c39-4d13-98fb-fdf0a08d95f3,-31.728561,-60.548197,10,6487035,732297,20J,Reconocida,Lapacho,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=a45279de-4c39-4d13-98fb-fdf0a08d95f3_1780603636.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,626e2a48-dab7-4243-bf2c-c1e007a05864,2026-06-04T20:06:50.000Z,2026-06-04T20:13:02.000Z,626e2a48-dab7-4243-bf2c-c1e007a05864,-31.728548,-60.548217,9,6487037,732295,20J,Reconocida,Lapacho,36,50,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=626e2a48-dab7-4243-bf2c-c1e007a05864_1780603604.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,1e78adec-67c9-433b-8b48-89a80e7a2faa,2026-06-04T20:05:47.000Z,2026-06-04T20:13:00.000Z,1e78adec-67c9-433b-8b48-89a80e7a2faa,-31.728822,-60.548218,11,6487006,732294,20J,Reconocida,Lapacho,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=1e78adec-67c9-433b-8b48-89a80e7a2faa_1780603541.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,f23937c8-7d68-428e-b775-41cdd085dc46,2026-06-04T20:05:16.000Z,2026-06-04T20:12:58.000Z,f23937c8-7d68-428e-b775-41cdd085dc46,-31.72886,-60.548195,10,6487002,732296,20J,Reconocida,Lapacho,36,250,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=f23937c8-7d68-428e-b775-41cdd085dc46_1780603511.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
bd5c133e-9851-4af0-9aa0-cd8bc592797a,e6c96eab-fe4b-4832-8fef-3d19120379fe,2026-06-04T20:04:37.000Z,2026-06-04T20:12:56.000Z,e6c96eab-fe4b-4832-8fef-3d19120379fe,-31.728775,-60.54817,10,6487012,732299,20J,Reconocida,Lapacho,36,150,https://five.epicollect.net/api/media/plan-de-arbolado-parana-2024-2028?type=photo&format=entry_original&name=e6c96eab-fe4b-4832-8fef-3d19120379fe_1780603471.jpg,,Si,Saludable ,,Saludable,,Vivero municipal,Parques y/o plazas,No,Natural,
